v1,v2,v3,v4,v5,v6,v7,v8,v9,r
-7.998824935686555,1,1.9442334349785364,-10,1,,-5,-15,8,1
-0.3496903020771137,1,0.2100591181238141,-1,1,20.0,-3,-4,6,1
5.0,0,6.567245026967981,2,1,,7,8,9,0
-1.2169640254840164,0,0.8191172836956735,3,0,14.0,-2,0,5,1
6.0,0,7.768248111433529,8,0,,6,14,7,1
-7.806705024070946,0,-0.07188562073716476,-13,0,,-9,-21,9,1
-3.179287393079883,1,1.1190431720721348,-3,1,,-9,-12,7,1
-6.664822301078113,0,-1.1114268100264901,-5,0,0.0,-10,-16,9,1
6.0,0,5.591001701696354,0,0,0.0,3,2,9,0
5.0,1,7.764435481408145,0,1,,4,4,5,1
-7.165682426795487,0,-0.1493229767809776,-10,0,0.0,-5,-14,8,1
-0.11642581433839128,0,2.418778409247533,1,0,1.0,-1,1,8,1
6.0,1,5.483072480875922,0,1,0.0,5,5,6,1
-7.34929598349047,0,-0.14254829920022782,-9,1,0.0,-5,-13,3,0
6.0,1,6.53574351834139,2,1,0.0,7,10,5,0
0.29412717108058867,0,1.8293645847561444,4,1,5.0,-3,0,10,1
6.0,1,7.374495271735581,4,0,0.0,3,8,8,0
-1.2462887856539737,1,0.5825913415030037,-3,1,5.0,-3,-7,9,1
5.0,1,6.650186202312719,2,1,,3,6,7,0
-0.8220431902699536,1,5.140400360530226,2,1,,-1,2,9,1
-0.4403098976450251,1,-0.7937560080984045,1,0,6.0,-3,-2,7,1
5.0,1,7.809627085656035,1,1,0.0,6,6,7,0
0.8772403557036004,1,0.5620169880370938,-4,0,15.0,-3,-6,9,1
6.0,0,5.120039659866574,6,0,,2,8,7,0
-0.7967536265334043,1,-1.3881317400784448,3,1,2.0,-1,1,9,0
5.0,1,6.879516365211741,8,1,0.0,5,14,9,1
-7.959340268253703,0,3.458956702001988,-10,0,0.0,-10,-19,8,1
-0.5071575056423321,1,0.8901615342808876,-2,1,14.0,3,2,7,1
5.0,1,7.270552167637112,0,1,0.0,3,4,9,0
6.0,0,5.39292682794831,8,0,0.0,3,10,6,0
-0.6597244923905577,1,2.4111764379634053,2,0,0.0,1,2,8,0
-7.807487140814636,1,-0.03235634087693917,-6,1,0.0,-5,-11,10,0
-6.11067075756608,1,-1.0766142502836917,-3,1,0.0,-10,-12,7,1
6.0,1,5.404844734661239,9,1,,2,12,14,1
-4.979728337297496,1,-2.9287714742952016,-6,1,,-6,-12,12,0
-0.5786640187235371,1,0.7340073023171539,-2,0,9.0,-3,-4,9,1
0.008612865020352412,1,-1.1125240183035705,-4,1,3.0,2,-3,9,1
-5.8949153040273945,0,3.7108431692365107,-6,1,0.0,-8,-15,7,0
-7.959912331198346,0,0.97921319718413,-7,0,1.0,-6,-12,5,1
6.0,1,7.372714032502981,9,1,0.0,5,14,5,0
-7.94498212895206,1,1.0310069521660088,-13,1,0.0,-8,-20,11,0
6.0,1,4.716295153376656,3,1,0.0,2,5,11,0
-3.2586112712866377,0,-4.741006255817983,-6,1,0.0,-11,-18,7,0
0.7126097934454599,1,-1.6542034561188153,-2,1,1.0,-1,-4,6,1
-7.449229358727567,0,-0.5507692873103789,-11,0,0.0,-5,-17,10,0
-0.03554168650962038,0,-0.2502703770674901,-4,0,12.0,-2,-6,5,1
5.0,0,4.615229447066023,2,1,0.0,2,3,4,0
6.0,1,7.290678962820735,1,1,0.0,6,8,9,0
5.0,1,5.256982181060862,3,1,0.0,6,10,9,0
5.0,1,7.257158141472222,7,1,,7,14,12,1
-7.5902197016127175,0,0.3285321214512589,-12,1,0.0,-6,-19,9,0
0.07195740681719821,1,-0.517662246458839,2,0,,0,3,11,0
-7.059155787670873,1,-0.7457459397369082,-10,0,0.0,-11,-21,8,1
0.28685181692589007,1,0.05598809968095689,-1,1,24.0,3,2,4,1
0.23668248648506815,1,1.282346723772788,3,1,9.0,2,5,7,0
-6.693953631763931,0,1.7834535597340908,-9,0,0.0,-9,-18,9,1
-7.019842414250693,1,1.3963449375471235,-10,1,0.0,-11,-22,6,1
0.3742091039871095,0,-2.0922921867526867,0,0,0.0,-3,-4,7,1
-0.5177516860461915,1,-0.13408066498735638,-1,0,13.0,-1,-1,9,0
6.0,1,6.333552085854698,2,0,0.0,4,7,7,0
-7.240122840104013,0,-0.00046434796482586194,-7,0,0.0,-9,-16,8,0
-6.890437709649128,0,-1.0651761958843515,-9,0,,-10,-18,8,1
-6.013341814939147,0,-1.9637995774041714,-8,0,0.0,-9,-17,10,0
6.0,1,5.781647085029127,3,1,0.0,7,10,11,0
-6.777228682645355,1,1.9268678183659729,-11,1,0.0,-9,-21,11,0
-7.388231593022719,0,-0.19746841243645008,-10,1,0.0,-9,-18,8,0
-0.7213462576220653,0,4.449748500094966,5,1,0.0,3,7,9,0
-7.879255505418869,1,0.11172522366737869,-6,1,0.0,-10,-16,9,1
5.0,1,3.687429764419933,8,1,0.0,6,15,3,1
-7.783133872785681,0,0.21440185940230716,-5,1,0.0,-9,-14,11,1
-1.3860492679766945,1,0.28996670958204473,-1,0,8.0,2,2,8,1
0.2869009925260261,1,1.2956721172263623,1,1,8.0,0,1,7,1
0.3835112130996261,1,-2.7878950616041895,4,0,0.0,-2,3,8,1
6.0,1,6.653753828573752,6,1,0.0,3,8,9,0
-0.1839403995531111,1,-0.27088187298104516,3,0,22.0,2,4,7,0
-2.0404367658652793,1,-1.4835254290791404,2,1,0.0,0,3,11,0
5.0,0,5.808904547973653,4,0,0.0,3,8,7,0
1.0989425806266908,0,0.005695529906342561,-3,0,16.0,1,-1,4,1
-7.14798465980378,1,-0.03876763061968447,-6,1,1.0,-9,-16,5,1
-7.313464380421925,1,-0.4816193450589985,-8,1,,-5,-12,2,0
5.0,1,7.822079726847211,7,1,0.0,3,11,8,1
6.0,0,5.646076183148437,9,0,0.0,7,15,7,0
1.1859816002614945,1,2.5570012774930864,4,0,0.0,2,7,10,0
-2.2846096004932326,1,-2.566289530423961,-12,0,,-8,-21,6,0
-1.311595049858678,1,-0.172530761461005,-2,1,3.0,-1,-3,11,1
0.006460732378287746,0,1.4861371858951649,-4,0,3.0,3,-1,6,1
-7.08728604213446,1,-0.49808660563750173,-6,0,1.0,-10,-16,7,1
6.0,1,4.800412963881088,7,1,0.0,7,13,6,0
6.0,1,5.100428751832978,9,0,0.0,6,16,4,0
-7.982198310184937,1,0.18375020893282734,-13,0,0.0,-10,-23,5,0
-1.0676274436320459,1,-0.0867712179901208,-1,0,12.0,-3,-5,11,1
6.0,0,5.87529194017141,0,0,0.0,7,6,7,0
-4.838012260232205,1,-1.7411596141161674,-13,0,,-5,-17,8,0
0.7944506795279516,0,-0.3749250367089455,-4,0,14.0,-1,-5,6,1
0.34444678559505965,0,-0.3148275044546974,1,0,24.0,1,3,5,1
5.0,1,6.281925447717267,6,0,0.0,5,10,9,1
5.0,0,5.260921297789757,7,0,0.0,6,14,9,1
-1.729527621946621,1,-2.9737013702037665,3,1,0.0,2,4,6,0
0.5451488616355282,1,3.036226509031837,5,0,0.0,1,6,8,0
-5.592286267548322,1,-2.0312667250313616,-8,1,0.0,-11,-18,11,1
5.0,0,7.336465780603122,7,0,0.0,6,14,9,1
6.0,0,5.5560245157004635,6,1,0.0,2,8,6,0
6.0,0,4.761066703794236,1,0,0.0,8,9,11,0
5.0,0,6.270472118354112,5,1,0.0,8,13,5,1
0.05680601853903132,1,-2.9553293523781017,-5,1,0.0,0,-4,6,1
5.0,1,4.502478294136282,9,0,0.0,3,12,9,0
6.0,1,6.7963491101164895,4,0,0.0,5,8,10,0
-7.76424425066053,1,-0.2124829787117548,-11,1,0.0,-11,-23,11,1
-1.7751751061706005,0,-1.4951919697129732,1,1,2.0,-2,-1,11,1
0.43914602331562613,1,0.31176940988141943,5,0,50.0,2,7,10,0
-7.900499816297529,0,-0.09949173925244637,-5,0,,-5,-9,8,1
6.0,0,5.258540798688565,0,0,0.0,6,5,7,0
-4.477211336176348,0,-2.8469901729819878,-7,1,0.0,-11,-19,8,1
0.7394314245537958,0,2.0099611550028325,2,0,0.0,-3,0,8,0
6.0,0,5.4549915013673385,8,0,,6,13,8,1
-7.784589630915676,0,-0.21214974159029776,-8,0,0.0,-9,-17,8,0
6.0,1,6.823069973066547,9,1,,4,12,11,1
5.0,1,6.5153783690867755,3,0,0.0,6,8,4,0
6.0,1,5.421752609541025,8,1,0.0,3,12,10,1
-7.806952843357852,1,0.8351982650803818,-11,1,0.0,-6,-17,8,0
-1.041195040550648,1,1.362946407983892,3,0,4.0,3,7,11,0
-0.34606172485856884,1,2.6507310231533094,-2,1,0.0,1,-1,7,1
0.14033301555949723,0,0.8054069135712159,1,0,20.0,-3,-1,8,0
-1.3762892125171422,1,-0.8818107918441115,-4,1,3.0,-1,-5,7,1
-6.9919555451870705,1,-0.9721680284581522,-11,0,0.0,-5,-15,5,0
-5.633732235027955,1,-2.2652130180182057,-7,0,0.0,-10,-18,9,1
5.0,0,6.027276269876185,4,0,0.0,8,13,10,1
-7.877722391517705,0,0.1847747040376273,-9,0,0.0,-7,-17,8,0
-0.07089470473398189,0,-0.04724750955959915,5,0,25.0,1,7,8,0
-4.949924079323004,1,-1.824491409167167,-7,1,0.0,-6,-12,12,0
6.0,1,8.554446740249976,5,1,,4,10,10,1
-5.513524528478614,0,-2.4753037984358235,-10,0,0.0,-10,-20,7,0
-6.429190709098034,0,0.6438092138401892,-5,0,,-8,-13,12,1
0.9329690566230185,1,-0.004780440617934978,-5,1,,1,-5,10,0
-7.68535047031658,1,0.06660541660305341,-10,1,0.0,-9,-19,6,1
1.3445288924708656,0,-2.3432183102208675,-3,1,0.0,0,-3,6,1
-7.982759052061274,0,0.016314756522120888,-10,1,0.0,-10,-21,6,0
0.418892748474249,1,1.599380079696171,0,1,6.0,3,4,11,0
-7.574238852937391,1,0.9089023252686346,-5,0,,-10,-14,7,1
5.0,1,5.528403603275203,7,1,0.0,5,13,5,1
-0.6542900996856281,0,-1.3498838397742356,-5,0,1.0,1,-3,8,1
1.876973236368966,0,-1.241722382025821,4,1,10.0,1,5,6,0
0.21454192177593176,1,1.4276989610349136,5,1,8.0,-1,4,5,0
6.0,1,8.286913030591492,2,0,0.0,8,9,7,1
-0.03951766421369509,0,-1.311750181211008,-3,0,2.0,1,-1,10,1
0.7424770183238059,1,-1.109052927075001,5,0,11.0,3,8,8,0
0.329777664951786,0,-1.3445381517978756,-3,0,1.0,-3,-7,9,1
-1.3778543646391912,1,0.014611589347860332,-2,1,5.0,0,-2,5,1
-0.2224422537429066,0,1.1194945385284254,-5,1,1.0,-3,-7,5,1
-5.696964070559096,1,-2.1407263504256377,-9,0,0.0,-11,-20,12,1
-0.525457930305728,1,-1.1248381840185957,-5,0,,-3,-8,3,1
0.1213770222971901,1,2.9599271790427255,0,0,0.0,3,3,10,0
5.0,1,5.159210528548807,10,1,,7,17,8,0
-7.896412802526724,0,-0.03793659598773136,-4,1,1.0,-9,-12,10,1
-7.732040622487899,1,0.8074032662395876,-5,0,0.0,-7,-12,8,1
0.7470858967672259,1,-2.4775228034975325,1,0,,0,2,8,0
-7.897440040089048,1,0.3758950943309909,-3,1,,-9,-11,9,0
-6.756170055283939,0,-0.8482989354314778,-3,0,0.0,-7,-10,9,0
-7.8706438654421,0,3.5238112756659676,-10,0,0.0,-11,-22,9,1
6.0,0,5.581561442929064,4,0,,5,8,6,0
5.0,0,5.664603901430022,10,1,0.0,3,12,8,1
-1.8299607766981065,0,-1.6257806195918105,-5,0,0.0,0,-6,8,1
5.0,1,3.8909210186864094,2,0,,3,5,4,0
1.6900788514687801,1,0.7577370965156105,1,1,41.0,2,2,8,1
-0.8249501381049311,1,-2.329547784294572,3,1,1.0,-3,0,6,0
-7.887296808434622,0,-0.11228698175345286,-8,0,0.0,-6,-13,8,0
-7.67925918565566,0,-0.13308781032153227,-11,0,0.0,-7,-19,2,0
6.0,1,6.637071993014055,0,1,0.0,3,2,12,0
-7.538576849604858,1,-0.32653733140224706,-10,1,1.0,-9,-19,7,1
-4.935547386856102,1,-2.7751460533292436,-7,1,0.0,-11,-18,8,1
5.0,1,5.768509437616944,3,1,0.0,2,6,6,0
0.09197750192334235,1,-0.703735531653257,-2,1,4.0,3,2,6,0
6.0,1,4.756541661616791,0,0,0.0,3,4,4,0
6.0,1,7.3795084637512,1,1,0.0,7,7,10,0
-7.6911422742751645,1,0.17214509795763533,-8,0,0.0,-10,-18,12,1
2.1366971373237202,1,2.160880654797717,-2,1,0.0,1,-2,11,1
-5.295854243675905,0,0.9726811679921425,-3,0,,-7,-9,8,0
1.422493383520504,1,1.6504198467113342,1,0,5.0,-2,-2,10,1
5.0,1,5.401400910796069,4,0,0.0,7,11,4,0
-5.855353160087206,1,-2.13326178265687,-7,1,0.0,-11,-18,8,1
-7.371718707693344,0,1.9340442256548274,-9,1,0.0,-8,-16,10,0
0.6165369899112075,0,-1.4188192261601014,3,0,,1,3,7,0
0.09559883512900663,0,2.254318674021863,4,0,,3,6,8,0
6.0,0,4.776442939206934,10,0,0.0,7,18,9,1
-3.3294993672403255,0,-1.1983689559683848,-6,1,0.0,-10,-15,9,1
0.38679337062686686,1,-0.4180941696242923,1,1,18.0,0,0,9,1
-7.298067077709529,1,1.1132883030141123,-7,1,,-8,-16,8,1
5.0,0,5.174206828128451,5,0,0.0,4,9,9,0
-7.744559005588145,1,3.7929558567454214,-13,0,0.0,-9,-21,4,0
-7.160596836472999,1,-0.6464446933622163,-6,1,0.0,-11,-17,10,0
-0.700585311812992,0,2.529554061742353,2,1,0.0,2,4,7,0
1.0317713401270472,1,-2.3249996812689404,-2,1,0.0,1,-1,7,0
-7.8746734571055335,1,-0.07783453916995597,-8,1,,-8,-15,8,0
1.1072656324606844,0,0.06683228056960167,-2,0,25.0,3,1,9,1
-7.51520469080293,0,-0.46446832541315786,-13,0,0.0,-7,-21,9,0
6.0,0,6.21367367987577,9,0,0.0,5,13,10,1
5.0,1,5.035985669747333,3,0,0.0,4,8,9,0
0.2506895338857291,0,2.6012999710508233,-3,0,0.0,3,-1,7,1
-1.574635714395852,0,0.8582530239082684,2,1,6.0,2,4,6,0
-7.996674331422297,0,2.515932717542449,-4,0,,-5,-8,7,1
-7.931609845777783,0,2.3797903550138413,-13,1,0.0,-11,-24,10,1
5.0,1,6.330024686099879,4,1,0.0,6,11,8,1
0.764034689183843,0,-3.833858760970715,-2,0,0.0,0,-1,8,0
5.0,1,5.340141276323266,6,1,0.0,3,10,10,1
-7.910054951310927,1,0.4966707055665225,-9,0,0.0,-7,-15,8,1
-7.988048717857149,0,1.2443912313949301,-6,0,0.0,-7,-12,9,0
-7.926337495329894,1,3.9511250066163637,-9,1,0.0,-9,-19,13,0
-0.7213149089173195,0,-2.865205544114136,3,0,0.0,1,4,5,0
6.0,1,4.873205131371556,10,1,0.0,2,12,6,1
-0.10431813586092349,0,-1.5460766959263172,3,0,0.0,-2,2,5,0
6.0,0,5.701612415810004,9,0,0.0,4,14,7,1
-1.2163238137027035,1,-4.0117772657798785,4,1,0.0,-2,2,9,0
0.5473189117663498,0,1.5985674012632418,3,0,7.0,-2,2,8,0
-4.212960870431572,0,-2.800561024769337,-13,0,0.0,-10,-22,7,0
-0.628361736261322,0,2.4216715423893134,0,0,1.0,-2,-2,7,1
0.2717642460406483,1,-2.5862364432038163,-2,1,,-3,-6,9,1
-7.377337456743175,0,-0.3996424599684314,-12,0,0.0,-10,-21,6,1
1.5059658605200612,0,0.6275226032902599,-4,0,26.0,-2,-5,10,1
6.0,0,6.092947893370262,6,0,0.0,8,13,9,0
6.0,0,7.581392340165224,10,1,,5,14,7,1
6.0,0,6.831721046769467,3,0,,8,10,9,1
-1.0947105694444281,1,-1.091987877956448,-4,1,2.0,-2,-5,4,0
-0.023304952871823773,1,-3.2592145185985073,0,1,,3,4,10,0
-0.6108752371980778,0,1.398813720256772,5,0,8.0,1,6,10,0
-7.704266733376107,1,3.402982305632002,-3,1,,-11,-13,8,1
-1.4296286419493203,0,-1.2931422410613695,0,1,2.0,2,1,6,0
6.0,1,4.788904447513905,7,1,0.0,6,12,9,1
1.0541130475865803,1,-1.5297835981891286,1,0,1.0,1,1,11,0
6.0,0,6.262149386922033,9,1,0.0,7,15,6,1
-7.15096009399665,1,-0.5581854388424539,-10,1,,-10,-20,9,1
-3.713873676414683,1,-4.270071533935074,-3,0,0.0,-6,-10,10,0
1.0230031727836955,0,-0.950477711604524,2,0,9.0,-3,-2,5,1
-7.53888396569035,0,-0.13934306672887953,-3,0,0.0,-6,-10,12,0
-7.8839507289312545,1,-0.050680078215795454,-4,1,0.0,-5,-10,8,0
-7.994956059288183,1,1.0341523724575623,-7,0,0.0,-9,-16,9,1
5.0,1,5.248934904285232,6,1,0.0,6,12,10,0
-0.43854931318639495,0,-3.429547399563359,-4,0,0.0,1,-3,6,0
-6.778691089313191,1,3.307227288922185,-13,1,0.0,-5,-17,10,0
5.0,0,6.5429338409316635,0,0,0.0,5,5,8,0
-1.0559511733119564,1,-0.30184619979160027,-4,1,8.0,1,-2,9,1
-7.541751347408822,0,4.685965748288926,-13,0,,-9,-23,9,1
0.4740623882070295,1,0.2639641704415918,-1,1,23.0,-1,-1,10,1
-7.803021879360414,0,-0.17541818465989412,-7,1,0.0,-10,-16,9,1
6.0,1,5.5340451418556045,6,1,,3,10,10,1
6.0,1,6.219506749543993,5,1,,7,12,9,1
6.0,1,7.264295081299047,6,1,0.0,5,11,8,1
0.21847550282796854,0,1.81873893520593,-3,0,2.0,1,-1,8,1
0.693113009137262,0,0.8561833827220428,1,0,22.0,-3,-3,7,1
5.0,0,6.14635406741921,9,0,0.0,3,13,9,0
1.279144077669852,0,0.7161403878411348,4,0,64.0,0,5,10,1
5.0,0,6.253200857099438,0,0,0.0,6,7,6,0
-1.228499628554355,0,3.7462183987587703,-4,0,0.0,3,-2,8,1
-7.49747415403024,0,-0.29000623798205005,-10,1,0.0,-7,-16,6,0
-7.869830539695571,1,0.0017789829189771567,-3,1,0.0,-6,-8,9,0
-0.10543925519823262,1,-1.0974207033062753,1,0,3.0,3,4,9,0
-7.959137105690279,1,1.4348242794641548,-8,1,0.0,-8,-17,8,0
-7.994055464345228,0,2.9344526043352026,-3,0,0.0,-8,-11,10,1
6.0,1,5.423424965610754,5,1,0.0,7,11,6,0
-0.9680230805607786,0,-0.038215931427641986,0,0,,-3,-2,15,0
-0.8525636228681208,1,-1.7004416185725397,3,1,0.0,1,5,8,0
-1.8504205880434021,0,1.662906388473524,5,0,5.0,1,7,9,0
1.5701174229199997,1,-0.27154769196675854,5,1,71.0,-2,4,9,1
1.6354174577728562,1,0.007561583377558911,0,1,47.0,0,-1,7,1
-0.7329268909739055,0,2.715134074848378,-1,0,0.0,1,0,13,1
-0.14944993707188436,0,1.880841645989113,-2,1,0.0,-2,-4,11,1
-7.555408093049343,1,0.12982206000384178,-10,1,0.0,-9,-20,11,0
5.0,1,6.01394081334237,1,0,,3,5,8,0
5.0,0,5.929644363071196,6,0,0.0,6,13,7,1
6.0,0,6.28854378248571,5,1,0.0,5,11,7,1
6.0,1,7.91579908111325,2,0,0.0,7,9,10,0
-7.999997377060881,1,0.03019980752644269,-3,1,0.0,-6,-8,8,0
0.6499708166982971,0,-0.1839527896180916,-5,0,20.0,-2,-8,12,0
6.0,0,5.62370671937523,1,1,0.0,5,5,8,0
-7.879158513174721,1,1.9713152722378222,-7,1,0.0,-9,-17,7,1
5.0,0,6.151824861616399,1,0,,7,9,8,1
0.6086872726340092,0,0.036076794291606595,1,0,,-2,0,9,0
-0.09689379930648791,0,0.18519617003664474,-2,1,15.0,1,-2,9,1
-6.3897757412818414,0,0.5775843290721401,-11,0,,-11,-21,7,1
-0.7090110690012814,1,0.8786558891962092,-1,1,10.0,-1,-3,9,0
-0.31611217080597537,1,1.437297650260035,-5,0,2.0,-1,-7,4,1
6.0,0,5.6235628783599445,9,1,0.0,4,12,6,1
-0.5426125715929159,1,3.5271434598617555,2,1,0.0,-1,0,4,1
-7.999348645327404,0,0.005737567485470052,-13,0,0.0,-10,-23,12,1
6.0,1,6.008532626163325,5,0,,4,8,12,0
0.1081258037634798,0,-2.512244279076092,-1,0,0.0,0,0,9,0
5.0,1,5.696653323093035,1,1,0.0,2,4,9,0
-7.25984666867052,0,0.20409348321360365,-11,1,1.0,-8,-20,10,0
-0.2884397009364191,1,-0.05428323724893721,1,1,20.0,-3,-3,7,1
0.22560784908575887,0,2.8883819629997687,3,1,,3,7,4,1
-7.781984299275752,0,2.8886984149345745,-11,0,0.0,-8,-20,9,0
6.0,0,4.8843279516196345,0,1,0.0,6,6,8,0
6.0,0,5.523482001701261,1,0,0.0,7,8,7,0
-7.91620165624524,1,0.9304482315032576,-5,0,0.0,-11,-17,4,1
-0.5387245433178377,0,-0.04275225279500432,-5,0,5.0,-2,-8,9,1
-7.998226956065923,1,0.979053952381638,-6,0,0.0,-6,-11,6,0
-7.5819801063906604,0,0.23087402020206493,-13,0,0.0,-8,-20,7,0
5.0,1,4.742905405026292,2,1,0.0,8,10,6,0
-6.685549504513338,1,0.3932916884257871,-9,0,1.0,-10,-19,12,1
-0.23659248195337748,1,0.21128713067978191,5,1,,3,7,11,1
-7.35546982378801,0,1.7633212728611927,-11,1,,-11,-21,6,1
5.0,0,5.585733240083597,5,0,,5,11,8,1
5.0,1,7.463378123462363,9,0,0.0,5,14,8,1
-0.587376053199163,0,1.7601442737635369,-3,0,0.0,-3,-6,6,1
-7.4833673910294785,0,-0.37801600656041234,-5,0,0.0,-11,-15,9,1
-7.271996134474396,1,0.9913153570158544,-6,1,0.0,-9,-14,9,1
-0.4507035812956137,1,-0.8893498871233904,-1,0,6.0,3,3,4,0
-7.9964500454965926,1,0.031004174815573826,-10,1,0.0,-5,-16,8,0
0.39498730836501433,1,-0.052262554818544166,-2,1,19.0,0,-3,5,0
0.8845323032700162,1,-1.741263617812015,4,0,1.0,3,6,8,1
-0.9103983750660968,0,-1.039926826017913,-2,1,2.0,1,-1,3,0
-0.8149298040516366,1,3.5919833385759405,2,1,0.0,1,3,7,0
6.0,1,7.855846030695857,7,0,0.0,2,9,7,1
5.0,0,6.430121977935189,9,1,,5,13,9,1
5.0,1,7.538160266671205,1,0,0.0,4,5,8,0
6.0,1,5.705348554838172,3,1,,3,7,7,1
5.0,0,6.691091855428736,6,0,0.0,3,9,9,0
5.0,0,7.486883244580679,0,0,0.0,2,2,9,0
-6.891011934780467,1,-1.0999450341285844,-12,1,0.0,-11,-24,7,0
-1.063800560006047,1,-1.2549388320830737,-4,1,,2,-3,1,1
0.009069775731053093,0,1.8465629546571076,0,0,,-3,-4,5,1
-7.900886267503256,1,0.05920380690846816,-8,1,0.0,-7,-16,9,0
-6.426498414218212,1,-1.3433765956543668,-7,1,0.0,-11,-18,8,0
6.0,0,6.516230607185634,5,0,,2,6,4,1
-7.99666531351543,0,0.03103285423041857,-3,0,2.0,-8,-12,6,1
-6.956107870564972,0,-1.0086643890536857,-11,0,0.0,-5,-16,7,1
-7.970299947970828,0,0.024365918062231984,-6,1,0.0,-6,-13,11,0
0.19672289661324174,0,1.4233909197628574,2,1,7.0,-1,1,10,1
-6.278827186531507,0,-1.2748819252396943,-4,0,1.0,-9,-13,6,1
5.0,0,6.7635730706931065,2,0,0.0,6,9,8,0
-0.9835619440889319,0,1.8428431615330874,5,0,1.0,-2,4,9,0
-0.5700350958263308,0,-4.175926105200266,-1,0,0.0,0,-1,11,1
-6.048887986505218,1,-1.8823670300605828,-5,0,,-11,-17,8,1
-1.296468241406473,1,1.1952356803652948,5,1,9.0,-1,4,9,0
6.0,0,6.575721768160631,3,0,0.0,8,10,9,0
5.0,1,6.230514493786277,6,0,,7,14,7,1
-7.270140860303048,1,-0.23634003658156644,-12,1,0.0,-5,-17,8,0
-7.6485412379090985,1,-0.32036414161370974,-9,1,,-8,-18,7,0
-7.625077145167943,0,-0.22562029446983445,-6,0,0.0,-6,-12,5,0
-0.4226600992745822,0,-0.5714962054613502,1,0,14.0,3,4,4,0
6.0,1,7.184004570631951,3,1,0.0,4,8,9,0
0.2745270864608867,0,-0.5658134792156287,-2,0,,1,-1,7,1
0.9225507722666325,0,-0.9231696072537996,5,0,17.0,-3,1,7,1
-7.114319323168393,0,-0.731613746664225,-11,0,0.0,-6,-16,9,0
5.0,1,6.369972917488226,2,1,,7,8,8,0
6.0,1,6.871050645598053,7,1,0.0,4,10,6,1
0.49598490537300094,0,2.654620235578111,-2,1,,3,0,13,1
5.0,0,5.64303825994028,2,1,,5,7,5,0
5.0,0,5.484630720824371,5,0,,5,9,7,0
5.0,1,6.5683245771568615,1,1,0.0,7,9,10,0
1.640164815223946,1,3.811504077985474,3,1,0.0,-1,3,7,0
-5.1769473350381805,0,-2.802144030297888,-13,1,,-9,-23,10,0
-6.826528308116124,1,0.7608647174218097,-13,1,,-9,-22,8,1
6.0,0,6.933086962603312,6,1,0.0,2,7,5,0
0.06534685207760267,1,0.1360449845775082,1,1,23.0,2,4,8,0
5.0,0,5.331657209266715,0,0,0.0,3,4,7,0
6.0,1,6.086105132736822,0,0,0.0,5,6,9,0
-5.646014477897334,1,-0.6120273037857737,-12,1,,-9,-22,3,0
-0.2619761490193583,0,2.6503353654065434,4,0,0.0,0,4,9,0
1.3656084432830033,1,-3.0318773397217003,-2,1,,1,-2,7,0
6.0,1,7.264396257640134,6,0,,8,14,7,1
1.4924142381533887,0,4.167208732461866,4,0,0.0,-3,0,8,1
-1.2679774138565236,1,0.5446075453004965,4,0,18.0,3,8,8,0
1.1706570081838639,1,0.747551657738628,0,1,37.0,-3,-2,7,1
